Faculty Name,Faculty Link,Type,Program Name ,Program Url
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
Faculty of Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
Faculty of Management,http://horizoncampus.edu.lk/faculty-of-management/,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
